Date,Open,High,Low,Close,Adj Close,Volume,snp500_return
2017-12-01,2683.72998046875,2872.8701171875,2532.68994140625,2713.830078125,2713.830078125,157252660000,
2018-03-01,2715.219970703125,2801.89990234375,2553.800048828125,2705.27001953125,2705.27001953125,223010410000,-0.0031542352864126766
2018-06-01,2718.699951171875,2916.5,2691.989990234375,2901.52001953125,2901.52001953125,212312730000,0.07254359031931479
2018-09-01,2896.9599609375,2940.909912109375,2603.5400390625,2760.169921875,2760.169921875,235582510000,-0.048715878816884994
2018-12-01,2790.5,2813.489990234375,2346.580078125,2784.489990234375,2784.489990234375,235660820000,0.008811076508961513
2019-03-01,2798.219970703125,2954.1298828125,2722.27001953125,2752.06005859375,2752.06005859375,226500770000,-0.011646632508775956
2019-06-01,2751.530029296875,3027.97998046875,2728.81005859375,2926.4599609375,2926.4599609375,222119320000,0.0633706745603746
2019-09-01,2909.010009765625,3154.260009765625,2855.93994140625,3140.97998046875,3140.97998046875,224310240000,0.07330358945438231
2019-12-01,3143.85009765625,3393.52001953125,2855.840087890625,2954.219970703125,2954.219970703125,234050110000,-0.05945915317096462
2020-03-01,2974.280029296875,3136.719970703125,2191.860107421875,3044.31005859375,3044.31005859375,392928730000,0.03049538923439843
2020-06-01,3038.780029296875,3514.77001953125,2965.659912109375,3500.31005859375,3500.31005859375,310853530000,0.14978763372435155
2020-09-01,3507.43994140625,3645.989990234375,3209.449951171875,3621.6298828125,3621.6298828125,283496940000,0.034659736477028025
2020-12-01,3645.8701171875,3950.429931640625,3633.39990234375,3811.14990234375,3811.14990234375,301575800000,0.05233003527794833
2021-03-01,3842.510009765625,4238.0400390625,3723.340087890625,4204.10986328125,4204.10986328125,293817100000,0.10310797817106088
2021-06-01,4216.52001953125,4537.35986328125,4164.39990234375,4522.68017578125,4522.68017578125,267300560000,0.07577592471652506
2021-09-01,4528.7998046875,4743.830078125,4278.93994140625,4567.0,4567.0,254051300000,0.009799460164369167
2021-12-01,4602.81982421875,4818.6201171875,4114.64990234375,4373.93994140625,4373.93994140625,280980780000,-0.042272839630775105
2022-03-01,4363.14013671875,4637.2998046875,3810.320068359375,4132.14990234375,4132.14990234375,322774490000,-0.05527968886211154
2022-06-01,4149.77978515625,4325.27978515625,3636.8701171875,3955.0,3955.0,280057380000,-0.042871121941454926
2022-09-01,3936.72998046875,4119.27978515625,3491.580078125,4080.110107421875,4080.110107421875,282736690000,0.031633402635113717
2022-12-01,4087.139892578125,4100.509765625,3984.489990234375,3998.840087890625,3998.840087890625,12820570000,-0.01991858488902465
2022-12-06,3996.6298828125,4001.510009765625,3928.419921875,3934.820068359375,3934.820068359375,1270125000,-0.01600964732876331
